customer_id,order_date,order_time,sku,item_id,item_quantity,item_price,item_disc_bins_null,item_disc_bins_sub_twenty,item_disc_bins_sub_forty,item_disc_bins_sub_sixty,item_disc_bins_sub_eighty,item_disc_bins_sub_hundred
4461,2023-02-10,19:14:20,,"Marc Delienne Fleurie ""Abbaye Road” 2019",1,71.0,1,0,0,0,0,0
4461,2023-02-10,19:14:20,,Ollie Hard Seltzer - CITRUS & GINGER,1,8.0,1,0,0,0,0,0
4461,2023-02-10,19:14:20,,Ollie Hard Seltzer - LYCHEE,1,8.0,1,0,0,0,0,0
4461,2023-02-10,19:14:20,,Ollie Hard Seltzer - WHITE PEACH,1,8.0,1,0,0,0,0,0
4461,2023-02-10,19:14:20,,Ollie Hard Seltzer - GRAPEFRUIT,1,8.0,1,0,0,0,0,0
4461,2023-02-10,19:14:20,,Craft 65 Imperial Sour Dogwood (IPA) - Single Can,1,6.5,1,0,0,0,0,0
4461,2023-02-10,19:14:20,,By the Glass - Beer - Dogwood Sour IPA,1,9.0,1,0,0,0,0,0
4462,2022-05-24,18:12:10,BBW-WINE-607,Pure The Winery Red,1,39.9,1,0,0,0,0,0
4462,2022-05-24,18:12:10,BBW-WINE-757,Willi Schaefer Graacher Domprobst Riesling Spätlese #10 2018,1,69.0,1,0,0,0,0,0
4462,2022-05-24,18:12:10,BBW-WINE-1025,Ceretto Moscato d'Asti DOCG 2020,1,42.0,1,0,0,0,0,0
4462,2022-05-24,18:12:10,,Sachi Soy Wine - 187 ML,1,14.5,1,0,0,0,0,0
4463,2022-05-01,13:31:32,BBW-WINE-095,Burn Cottage Moonlight Race Pinot Noir 2018,1,78.0,1,0,0,0,0,0
4463,2022-05-01,13:31:32,BBW-WINE-382,Felton Road Calvert Pinot Noir 2020,1,121.0,1,0,0,0,0,0
4463,2022-05-01,13:31:32,BBW-WINE-243,La Rioja Alta Viña Ardanza 2015,1,78.0,1,0,0,0,0,0
4464,2022-07-22,15:09:46,BBW-WINE-942,Adega do Demo Bitoku 2018,1,57.0,1,0,0,0,0,0
4464,2022-07-22,15:09:46,BBW-WINE-292,Bodegas Matsu El Recio 2019,1,58.0,1,0,0,0,0,0
4464,2022-07-22,15:09:46,,Bertani Ripasso Valpolicella 2019,1,58.0,1,0,0,0,0,0
4464,2022-07-22,15:09:46,BBW-WINE-021,Kabaj Ravan 2016,1,52.0,0,1,0,0,0,0
4464,2022-07-22,15:09:46,,Oxer Wine Marko Gure Arbasoak 2020,1,70.0,1,0,0,0,0,0
4464,2022-07-22,15:09:46,,Oxer Wine Marko 2020,1,58.0,1,0,0,0,0,0
4465,2022-05-02,16:03:42,BBW-WINE-436,"La Kiuva ""Rouge de Vallee"" Valle d'Aosta 2020",1,49.0,1,0,0,0,0,0
4465,2022-05-02,16:03:42,BBW-WINE-078,Coto de Imaz Gran Reserva 2015,1,59.0,1,0,0,0,0,0
4465,2022-05-02,16:03:42,,Purcari Freedom Blend 2019,1,60.0,1,0,0,0,0,0
4465,2022-05-02,16:03:42,,Oxer Wine Marko Gure Arbasoak 2020,1,70.0,1,0,0,0,0,0
4465,2022-05-02,16:03:42,BBW-WINE-021,Kabaj Ravan 2016,1,52.0,1,0,0,0,0,0
